window_length,preprocessing,method,queries,top1_rmse,top3_rmse,top5_rmse,top1_corr
90,relative_mean,hybrid,4,0.08192777666227287,0.09286779491667628,0.10997404248934035,0.7988236173202068
90,zscore,hybrid,4,0.08948243766222636,0.09286779491667628,0.10997404248934035,0.7917433969837877
90,log_zscore,hybrid,4,0.08948243766222636,0.09286779491667628,0.10997404248934035,0.7917433969837877
90,zscore,euclidean,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,zscore,cosine,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,zscore,correlation,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,minmax,correlation,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,relative_mean,euclidean,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,relative_mean,cosine,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,relative_mean,correlation,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,log_zscore,euclidean,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,log_zscore,cosine,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,log_zscore,correlation,4,0.08310713572522445,0.09405046233333482,0.09644645374334217,0.797059804441705
90,minmax,cosine,4,0.09359513075955758,0.09405046233333482,0.09644645374334217,0.792466294260364
90,minmax,euclidean,4,0.08695324120565454,0.09423585152817124,0.09691836515525692,0.79161358213673
90,detrended_zscore,euclidean,4,0.08695324120565454,0.09462529531133018,0.09807533196229867,0.79161358213673
90,detrended_zscore,cosine,4,0.08695324120565454,0.09462529531133018,0.09807533196229867,0.79161358213673
90,detrended_zscore,correlation,4,0.08695324120565454,0.09462529531133018,0.09807533196229867,0.79161358213673
90,difference_zscore,euclidean,4,0.10503172160083832,0.10356776379471182,0.10000189991082638,0.7832273533734329
90,difference_zscore,cosine,4,0.10503172160083832,0.10356776379471182,0.10000189991082638,0.7832273533734329
90,difference_zscore,correlation,4,0.10503172160083832,0.10356776379471182,0.10000189991082638,0.7832273533734329
90,minmax,hybrid,4,0.08695324120565454,0.10559491466030625,0.11231795821789094,0.79161358213673
90,pct_change_zscore,euclidean,4,0.09955792105213054,0.10571077364945815,0.10068039491709675,0.7857326223821619
90,pct_change_zscore,cosine,4,0.09955792105213054,0.10571077364945815,0.10068039491709675,0.7857326223821619
90,pct_change_zscore,correlation,4,0.09955792105213054,0.10571077364945815,0.10068039491709675,0.7857326223821619
90,pct_change_zscore,hybrid,4,0.10282132389502856,0.10681250791257531,0.10326056940792099,0.7702322815433862
90,detrended_zscore,hybrid,4,0.08695324120565454,0.10803754305217575,0.11335275955387426,0.79161358213673
90,difference_zscore,hybrid,4,0.11550845039440927,0.10804935742743393,0.10484493544182791,0.7888530910046655
60,minmax,hybrid,4,0.14672452716722215,0.143117149578996,0.14341809210521364,0.6144511633258655
60,zscore,euclidean,4,0.13978453438286464,0.14330285012391408,0.1406744129724335,0.6214954030303831
60,zscore,cosine,4,0.13978453438286464,0.14330285012391408,0.1406744129724335,0.6214954030303831
60,zscore,correlation,4,0.13978453438286464,0.14330285012391408,0.1406744129724335,0.6214954030303831
60,minmax,cosine,4,0.13978453438286464,0.14330285012391408,0.14308776259495093,0.6214954030303831
60,minmax,correlation,4,0.13978453438286464,0.14330285012391408,0.1406744129724335,0.6214954030303831
60,relative_mean,cosine,4,0.13978453438286464,0.14330285012391408,0.1406744129724335,0.6214954030303831
60,relative_mean,correlation,4,0.13978453438286464,0.14330285012391408,0.1406744129724335,0.6214954030303831
60,detrended_zscore,hybrid,4,0.14626435645673166,0.14368272503943386,0.14183869352079712,0.6212477116881702
60,detrended_zscore,euclidean,4,0.13732149601921684,0.14455819286949162,0.14280925515830414,0.6323164315658621
60,detrended_zscore,cosine,4,0.13732149601921684,0.14455819286949162,0.14280925515830414,0.6323164315658621
60,detrended_zscore,correlation,4,0.13732149601921684,0.14455819286949162,0.14280925515830414,0.6323164315658621
60,pct_change_zscore,euclidean,4,0.14923579520054586,0.14474168295178552,0.14652354265108164,0.6043759435313405
60,pct_change_zscore,cosine,4,0.14923579520054586,0.14474168295178552,0.14652354265108164,0.6043759435313405
60,pct_change_zscore,correlation,4,0.14923579520054586,0.14474168295178552,0.14652354265108164,0.6043759435313405
60,minmax,euclidean,4,0.1524396376496774,0.14595581686689157,0.14450974035586853,0.6163813682879448
60,zscore,hybrid,4,0.13978453438286464,0.1460604741558233,0.1685391518110621,0.6214954030303831
60,relative_mean,euclidean,4,0.13978453438286464,0.1460604741558233,0.14180086848339818,0.6214954030303831
60,relative_mean,hybrid,4,0.13978453438286464,0.1460604741558233,0.16757514510248198,0.6214954030303831
60,log_zscore,euclidean,4,0.1524396376496774,0.1460604741558233,0.14015735336229598,0.6163813682879448
60,log_zscore,cosine,4,0.1524396376496774,0.1460604741558233,0.14015735336229598,0.6163813682879448
60,log_zscore,correlation,4,0.1524396376496774,0.1460604741558233,0.14015735336229598,0.6163813682879448
60,log_zscore,hybrid,4,0.1524396376496774,0.1460604741558233,0.14015735336229598,0.6163813682879448
60,difference_zscore,euclidean,4,0.1464440172993249,0.14621218839994554,0.14284112780854835,0.617396850049458
60,difference_zscore,cosine,4,0.1464440172993249,0.14621218839994554,0.14284112780854835,0.617396850049458
60,difference_zscore,correlation,4,0.1464440172993249,0.14621218839994554,0.14284112780854835,0.617396850049458
60,difference_zscore,hybrid,4,0.1464440172993249,0.14682937687851974,0.14713680388675843,0.617396850049458
90,smooth_zscore,euclidean,4,0.16305025095317716,0.1500479341933959,0.22977517367919767,0.6607493958409864
90,smooth_zscore,cosine,4,0.16305025095317716,0.1500479341933959,0.22977517367919767,0.6607493958409864
90,smooth_zscore,correlation,4,0.16305025095317716,0.1500479341933959,0.22977517367919767,0.6607493958409864
90,smooth_zscore,hybrid,4,0.16305025095317716,0.1500479341933959,0.19407550551997194,0.6607493958409864
60,pct_change_zscore,hybrid,4,0.14923579520054586,0.15084972292539367,0.14722258508919472,0.6043759435313405
90,relative_mean,dtw,4,0.18559525879853184,0.15425199004604484,0.22019579867226396,0.6331571193910408
90,difference_zscore,dtw,4,0.11550845039440927,0.19014455857086995,0.1960532559707396,0.7888530910046655
30,detrended_zscore,hybrid,4,0.1941615561419711,0.1911804111420384,0.19009331053734219,0.606558988052014
30,log_zscore,hybrid,4,0.20186971503057413,0.19629223279844193,0.19571333170350616,0.6050704091596268
30,zscore,hybrid,4,0.20186971503057413,0.19635734640546523,0.1955054345199318,0.6050704091596268
30,minmax,hybrid,4,0.20186971503057413,0.20044733385201874,0.19804333226121448,0.6050704091596268
30,minmax,cosine,4,0.20186971503057413,0.20087076838048393,0.20516756776944875,0.6050704091596268
30,relative_mean,euclidean,4,0.20186971503057413,0.20087076838048393,0.20516756776944875,0.6050704091596268
30,log_zscore,euclidean,4,0.20186971503057413,0.20087076838048393,0.19680593511397132,0.6050704091596268
30,log_zscore,cosine,4,0.20186971503057413,0.20087076838048393,0.19680593511397132,0.6050704091596268
30,log_zscore,correlation,4,0.20186971503057413,0.20087076838048393,0.19680593511397132,0.6050704091596268
30,detrended_zscore,euclidean,4,0.18869010954870336,0.2018411973000562,0.20072268599378934,0.6130181001643913
30,detrended_zscore,cosine,4,0.18869010954870336,0.2018411973000562,0.20072268599378934,0.6130181001643913
30,detrended_zscore,correlation,4,0.18869010954870336,0.2018411973000562,0.20072268599378934,0.6130181001643913
30,relative_mean,hybrid,4,0.20186971503057413,0.20607764357023634,0.19553790100977547,0.6050704091596268
30,zscore,euclidean,4,0.20186971503057413,0.20614275717725966,0.20037128809936772,0.6050704091596268
30,zscore,cosine,4,0.20186971503057413,0.20614275717725966,0.20037128809936772,0.6050704091596268
30,zscore,correlation,4,0.20186971503057413,0.20614275717725966,0.20037128809936772,0.6050704091596268
30,minmax,correlation,4,0.20186971503057413,0.20614275717725966,0.20037128809936772,0.6050704091596268
30,relative_mean,cosine,4,0.20186971503057413,0.20614275717725966,0.20037128809936772,0.6050704091596268
30,relative_mean,correlation,4,0.20186971503057413,0.20614275717725966,0.20037128809936772,0.6050704091596268
30,minmax,euclidean,4,0.20186971503057413,0.20764220355504195,0.20283961193129552,0.6050704091596268
30,pct_change_zscore,euclidean,4,0.21443609055986135,0.2078465741003423,0.19858005814472224,0.6007893318458638
30,pct_change_zscore,cosine,4,0.21443609055986135,0.2078465741003423,0.19858005814472224,0.6007893318458638
30,pct_change_zscore,correlation,4,0.21443609055986135,0.2078465741003423,0.19858005814472224,0.6007893318458638
30,pct_change_zscore,hybrid,4,0.19564542060099732,0.2082151543617159,0.19844012601521255,0.6096601329758644
90,zscore,dtw,4,0.08974809789676753,0.21036830624885283,0.22433488805495413,0.797416899705367
90,log_zscore,dtw,4,0.08974809789676753,0.21036830624885283,0.22006141973371265,0.797416899705367
30,difference_zscore,euclidean,4,0.20222631471681637,0.21147596185489403,0.20160513564983643,0.6075609952800509
30,difference_zscore,cosine,4,0.20222631471681637,0.21147596185489403,0.20160513564983643,0.6075609952800509
30,difference_zscore,correlation,4,0.20222631471681637,0.21147596185489403,0.20160513564983643,0.6075609952800509
30,difference_zscore,hybrid,4,0.18934738180167973,0.21399684809422548,0.200063609118827,0.6153495282250678
60,pct_change_zscore,dtw,4,0.15355122903397403,0.21412089980768195,0.262364806435246,0.6060862168448276
30,smooth_zscore,euclidean,4,0.18958981596736796,0.22192819507926012,0.24654542692974946,0.6141811863774572
30,smooth_zscore,cosine,4,0.18958981596736796,0.22192819507926012,0.24654542692974946,0.6141811863774572
30,smooth_zscore,correlation,4,0.18958981596736796,0.22192819507926012,0.24654542692974946,0.6141811863774572
30,smooth_zscore,hybrid,4,0.20111986808915025,0.22192819507926012,0.3098540036814631,0.6097287818638362
60,difference_zscore,feature,4,0.2311131697963677,0.2283588764638551,0.25995933721834363,0.4828361462221823
60,detrended_zscore,dtw,4,0.25140358310973626,0.22986512980989499,0.2272613057774619,0.4464939160864435
60,pct_change_zscore,feature,4,0.24118688196400306,0.23033532897449213,0.26799907873526785,0.25463460894569034
90,smooth_zscore,dtw,4,0.16282261967651024,0.23126595397471938,0.19351384331864308,0.6614558601274242
90,log_zscore,feature,4,0.3503768128681035,0.2342597636850399,0.2679677898366715,0.10181320254372583
90,pct_change_zscore,dtw,4,0.25434320702782587,0.2356467046289731,0.2255617909069006,0.6237177873609075
90,detrended_zscore,dtw,4,0.14618943909309856,0.23912637768640913,0.26091675290179844,0.4772413934895634
60,difference_zscore,dtw,4,0.1493492501762611,0.23949002772181244,0.2357323618701507,0.6179434171680073
30,pct_change_zscore,dtw,4,0.3308133448308238,0.24824917563373713,0.3037331744640658,0.2679805362506765
90,relative_mean,feature,4,0.15863329491164158,0.249670122307619,0.23298414798884443,0.4479858086778079
60,minmax,dtw,4,0.23457572429730342,0.25341610304306783,0.27729061765795937,0.47961504673956945
60,log_zscore,dtw,4,0.2569754989787925,0.2544633179965075,0.25909015877008623,0.4345041567808946
30,detrended_zscore,dtw,4,0.37093682703900416,0.2622282307835528,0.2854807973052274,0.26853610869375255
60,zscore,dtw,4,0.2569754989787925,0.26542915180999116,0.26686902329905016,0.4345041567808946
60,relative_mean,dtw,4,0.2569754989787925,0.26542915180999116,0.2868110197614143,0.4345041567808946
30,smooth_zscore,dtw,4,0.18774277905180076,0.2675888320972075,0.3371450336096203,0.61002472175248
90,difference_zscore,feature,4,0.1986491456977823,0.2687614179253763,0.34246120432086485,0.5797267918893892
90,minmax,dtw,4,0.17617736396572978,0.27133252523639234,0.264979628208908,0.6399232962129004
60,smooth_zscore,euclidean,4,0.2799368084363467,0.2744031024390932,0.2557369210772775,0.224885826896208
60,smooth_zscore,cosine,4,0.2799368084363467,0.2744031024390932,0.2557369210772775,0.224885826896208
60,smooth_zscore,correlation,4,0.2799368084363467,0.2744031024390932,0.2557369210772775,0.224885826896208
90,pct_change_zscore,feature,4,0.20761743647227723,0.27672205750284246,0.28464671806727276,0.5797980179726401
90,minmax,feature,4,0.22071287274657808,0.2832772853191281,0.35326416204328415,0.3851713003432359
30,difference_zscore,dtw,4,0.22993975622009746,0.29637102015312444,0.2838055272987056,0.4444811041611365
30,zscore,dtw,4,0.20186971503057413,0.30016870684176233,0.3207917950344525,0.6050704091596268
30,log_zscore,dtw,4,0.23256073612073058,0.30016870684176233,0.34884477744867715,0.44298277135356556
30,relative_mean,dtw,4,0.2740751428291006,0.30045637104078315,0.33140291439229286,0.440675951841661
30,pct_change_zscore,feature,4,0.19918940504958105,0.3007671449064337,0.3057185983272596,0.6054665686475885
60,smooth_zscore,hybrid,4,0.24086259360998652,0.3052681775106306,0.32096710344020185,0.4755378434571659
30,difference_zscore,feature,4,0.1872568900216915,0.3186656042940169,0.31672039260010365,0.6090777093590223
90,zscore,feature,4,0.3404770535200904,0.3195391175860036,0.28604644414345815,-0.14700871859377995
60,smooth_zscore,dtw,4,0.24373407633789818,0.32031682448595933,0.3105436204305066,0.455518659184597
30,detrended_zscore,feature,4,0.3187735720337989,0.3245106139068324,0.31429633281167274,0.42869551851028076
30,minmax,dtw,4,0.33922147508613093,0.3307844529040454,0.34062468181530176,0.07551150468393733
60,relative_mean,feature,4,0.42788211485876104,0.3325477680298205,0.3161768425590234,-0.18414887397540308
90,detrended_zscore,feature,4,0.25864455177665935,0.33363581596959896,0.3350190695017537,0.26635147798727454
60,smooth_zscore,feature,4,0.29932500697468695,0.33399730761819,0.34364358479506146,-0.32745709134034967
60,detrended_zscore,feature,4,0.3163082282353862,0.3436093011086346,0.328757362741101,-0.17332670035693057
60,zscore,feature,4,0.40986592842902314,0.34973833416763067,0.30473119502249,-0.1940683983701936
30,smooth_zscore,feature,4,0.18958981596736796,0.35266455143479813,0.4061949571584776,0.6141811863774572
60,log_zscore,feature,4,0.5016566110044097,0.3557481239314383,0.3384180628470619,-0.18414259692957294
60,minmax,feature,4,0.20518153830543517,0.37786972739182967,0.3499808735376576,0.29466451176404646
30,minmax,feature,4,0.42065271402467197,0.41000176508496505,0.3879584102070408,0.11586453937832453
30,relative_mean,feature,4,0.43980718499506266,0.419460729790041,0.45597825234151645,-0.08854804776740868
90,smooth_zscore,feature,4,0.4401948875853716,0.4630462751475416,0.42151259236672667,-0.015174136914953396
30,zscore,feature,4,0.35537062918257517,0.4985730901776177,0.4539818600521387,0.07565356658176076
30,log_zscore,feature,4,0.35537062918257517,0.49862649014077803,0.4541450848343012,0.07565356658176076
